Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Ullberg, J; Johnson, P; Buschle, M",,"VanSinderen, M; Johnson, P",,"Ullberg, Johan; Johnson, Pontus; Buschle, Markus",,,A Modeling Language for Interoperability Assessments,ENTERPRISE INTEROPERABILITY,Lecture Notes in Business Information Processing,,English,Proceedings Paper,3rd International IFIP Working Conference on Enterprise Interoperability,"MAR 23-24, 2011","Royal Inst Technol, Stockholm, SWEDEN","IFIP TC5 WG5 8,INTEROP VLab,KTH, Royal Inst Technol,Ctr Telemat & Informat Technol",Royal Inst Technol,Interoperability; Modeling Language; Interoperability Assessment,,"Decision-making on issues related to interoperability can be furthered by the use of models of the organization or information system where interoperability is of concern. In order to provide decision-making support, the models should be amenable to analyses. This paper presents a modeling language specifically for interoperability issues where interoperability is defined as the probability that two more actors will be able to exchange information and use that information. The language is coupled with a probabilistic mechanism for automated interoperability assessments of the models created. The paper also presents an example of how the language can be applied.","[Ullberg, Johan; Johnson, Pontus; Buschle, Markus] KTH Royal Inst Technol, SE-10044 Stockholm, Sweden",Royal Institute of Technology,,johanu@ics.kth.se; pj101@ics.kth.se; markusb@ics.kth.se; pj101@ics.kth.se,"Johnson, Pontus/G-8951-2011; Johnson, Pontus/C-5796-2014","Johnson, Pontus/0000-0002-3293-1681",,,,,22,2,2,0,3,SPRINGER-VERLAG BERLIN,BERLIN,"HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",1865-1348,,978-3-642-19679-9,LECT NOTES BUS INF P,,,2011,76.0,,,,,,61,74,,,,,,14,"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Economics; Operations Research & Management Science",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Computer Science; Business & Economics; Operations Research & Management Science,BVE81,,,,,2024-03-09,WOS:000291327000007,0
C,"Feng, CH; Zhang, Y",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Feng Changhuan; Zhang Yi,,,Researching of Chinese University's Tuition Standard Based on Urban-rural Income Differences,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,Higher Education Tuition Fees; Tuition and Fees for Each Student; Mathematical Model; Income Differences,,"This article investigated the correlative factor of affecting the higher education tuition fees and the interrelation of them. On the premise of reasonable assumptions and real and effective related data, the best tuition model of China higher education has been analyzed which based on the difference between urban and rural income levels. Expenses standard with rural and urban income level has been established, and then the rationality of tuition fees for previous years has been judged, we got a dynamic model about the formulation of school fees. At last, it pointed out the necessity of collecting tuition fees according to the urban-rural income differences.","[Feng Changhuan; Zhang Yi] China W Normal Univ, Sch Math & Informat, Beijing 637002, Peoples R China",China West Normal University,,fchanghuan@163.com,,,,,,,6,0,0,0,2,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,288,291,,,,,,4,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400050,0
C,"Li, N; Han, YM",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Li Ning; Han Yaming,,,The Application of BP-Neural Networks to the Interpolation of Missing Hydrological Data,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,BP-Neural Networks; Interpolation of missing data; The elevation of hydrologic station,,"The elevation of hydrologic station is the key point of hydrological analysis. This paper will adopt BP-Neural Networks to set up a model of interpolation about the missing elevation data of hydrologic station. The data set of hydrologic station is about drainage area in the middle and lower reaches of Yellow river, or in some branches of Yellow river such as wei river and jing river. The result of training shows, when we choose a data set that position of longitude and altitude is close by the missing data, or we choose a data set in the same river, accuracy of prediction that using this model is good.","[Li Ning] Shanxi Univ Finance & Econ, Informat Management Coll, Taiyuan 030006, Shanxi, Peoples R China; [Han Yaming] Xian Univ Technol, Business Management Coll, Xian 710048, Shaanxi, Peoples R China",Shanxi University Finance & Economics; Xi'an University of Technology,"Li, N (通讯作者)，Shanxi Univ Finance & Econ, Informat Management Coll, Taiyuan 030006, Shanxi, Peoples R China.",,,,,,,,5,1,1,1,3,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,545,+,,,,,,2,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400093,0
C,"Qiu, T",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Qiu Ting,,,An Analysis into the Evolution of Competition Forms of Clustered Enterprises,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,Industrial Cluster; Life Cycle; Competition; Evolution,,"Underpinning market operations in modern economy, competition is also the basic approach by which an enterprise survives and develops. However, how the enterprises within an industrial cluster (a special organization) compete against each other? Firstly this paper clarifies the relationship between industrial cluster and competition, i.e., moderate competition will promote healthy development of industrial cluster, while excessive competition will block or even destroy the development of industrial cluster. Next based on the life cycle of industrial cluster, this paper presents an analysis into the evolution of competition forms of clustered enterprises during different stages of such life cycle, and into the characteristics of evolving stages. The author embraces a hope to furnish researchers on competition of clustered enterprises with certain research foundation.","[Qiu Ting] Xianghu Sch Dist, Coll Business, Jingdezhen Ceram Inst, Jingdezhen, Peoples R China",Jingdezhen Ceramic Institute,,qiuting0731@163.com,,,,,,,11,0,0,0,0,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,61,67,,,,,,7,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400012,0
C,"Yi, R; Ma, ZX",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Yi Ru; Ma Zhanxin,,,Research on the Comprehensive Evaluation of Small Town Sustainable Development Based on DEA,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,Small Town; Comprehensive Evaluation; AHP; Data Envelopment Analysis,,"On the basis of summarizing research for the index system of small town sustainable development, combine with the actual situation of the China's western region, the evaluation index system of small town sustainable development is built from the economy, society, resources & environment. On this basis, according to the indicators cohesion, non-parameter method used for evaluating the small town sustainable development is provided based on AHP method and DEA method. In addition, this model is applied to evaluate the sustainable development status of 23 subsidiary towns of Hohhot. The result shows that the sustainable development level of the small town in Hohhot is in the state of medium-weak, and the sustainable development level of over 50% towns doesn't reach the average sustainable development level of 23 towns of Hohhot in 2008. Through projection analysis, the towns with redundant economic development indicators are concentrated in the urban district of Hohhot; the towns with redundant social development indicators are concentrated in banners & counties of Hohhot. The local goverment needs to work out scientific and reasonable small town construction plan to cope with above problems.","[Yi Ru; Ma Zhanxin] Inner Mongolia Univ, Sch Econ & Management, Hohhot 010021, Peoples R China",Inner Mongolia University,,em_mazhanxin@imu.edu.cn,"Ma, Zhanxin/JJE-7888-2023",,,,,,12,1,1,1,15,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,264,270,,,,,,7,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400046,0
C,"Wang, FZ; Cao, XH",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Wang Fuzhong; Cao Xuhua,,,Research on the Product Quality Evaluation for Raw Coal Suppliers of Power Plants,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,Raw Coal Suppliers; Product Quality Evaluation; Rough Sets; Fuzzy Sets,,"By analyzing the product quality evaluation indexes for raw coal suppliers of power plants, and using the strong qualitative analysis ability of Rough Sets theory and its independent of the weight coefficient of all indexes, the paper evaluates the product quality for raw coal suppliers. Compared with the evaluation result obtained by the Fuzzy Sets theory, the evaluation result in this paper shows that the Rough Sets method can bring an obvious advantage for selecting and evaluating the best enterprise.","[Wang Fuzhong; Cao Xuhua] Zhejiang Univ Sci & Technol, Sch Econ & Management, Hangzhou 310023, Zhejiang, Peoples R China",Zhejiang University of Science & Technology,,wfz212126@126.com; morefast@126.com,,,,,,,8,0,0,0,2,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,498,501,,,,,,4,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400084,0
C,"Yu, PL",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Yu Peili,,,An Empirical Study of the Influence of Regional Industry Structure on Innovation Performance,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,Externalities; Specialization; Diversity; Market Structure; Regional Innovation Performance,GROWTH,"Based on the dynamic externality theory, this paper analyzes the impact of specialization, diversity of industrial structure and market structure on the regional innovation performance. This paper chooses the panel data of 5 high-tech industries from 2000 to 2005 to analyze. The result of empirical study shows that the specialization of regional industry structure is conducive to enhance the innovation performance. On the whole, the impact of diversity is very restricted, but competition make against innovation. Considering the unbalanced development of different areas, so we divide the sample of hi-tech industries into two groups including the core innovation areas and marinal areas by fuzzy dustering method for further empirical analysis. In the core innovation zone, the result shows the specialization and diversity of regional industry structure are both conducive to improve the innovation performance, but competition is not. In marinal areas, both of the specialization of regional industry structure and competition are conducive to enhance regional innovation performance, but the diversity of regional industry structure is not.","[Yu Peili] Northeastern Univ, Sch Business Adm, Boston, MA 02115 USA",Northeastern University,,plyu@mail.neu.edu.cn,,,,,,,14,0,0,0,1,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,418,426,,,,,,9,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400073,0
C,"Li, L; Sun, Y; Yao, XD",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Li Lei; Sun Yu; Yao Xiaodong,,,Research on the Development Routes of Low Carbon Economy in Tianjin,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,Low Carbon Economy; Circular Economy; Mode of Economic Development,,"With the global economic recovery, the word low carbon economy has penetrated to our life more. It has became the focus of Tianjin economic work in 2010 that transformation of the mode of economic development and efforts to build a low-carbon city and maintaining economic and social development sound and fast This paper analyzes the status and problems of low carbon economic development in Tianjin, and combines the mode of economic development and low carbon economy organically, and put forward strategies and recommendations for development which advance circulatory and efficiency of economy.","[Li Lei; Sun Yu] Tianjin Univ Commerce, Sch Publ Management, Tianjin 300134, Peoples R China; [Yao Xiaodong] Tianjin Univ Finance & Econ, Tianjin 300222, Peoples R China",Tianjin University of Commerce; Tianjin University of Finance & Economics,"Li, L (通讯作者)，Tianjin Univ Commerce, Sch Publ Management, Tianjin 300134, Peoples R China.",magic.raylee@yahoo.com.cn; sunyuyao@yahoo.com.cn; xioadongyao@yahoo.com.cn,,,,,,,4,0,0,1,1,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,380,+,,,,,,2,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400066,0
C,"Shen, B",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Shen Bin,,,The Research on Work Injury-related Insurance Operated by Intermediate Organization,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,Work Injury Insurance; Intermediate Organizations; Returns,,"At present,there have some practical problems which are need to be resolveed in the running course of China's industrial injury insurance. Among them, the most important issues that need by overcoming the government failure to resolve. To operate an enterprise is no doubt to overcome government failure as a viable approach, through the use of intermediate organizations approach to enterprise operation, can play the strengths of the government and enterprises, could operate work injury insurance better. In this article, will study the benefits of intermediate organizations operating industrial injury insurance, and give the proof of reasonableness.","[Shen Bin] Jiang Su Univ, Sch Business Management, Zhen Jiang City 212013, Jiang Su Prov, Peoples R China",Jiangsu University,,jiangsu7892@126.com,,,,,,,10,0,0,0,0,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,401,407,,,,,,7,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400070,0
C,"Tan, W; Zhang, JS",,"Zhang, S; Feng, Z; Zhao, H; Zhang, H",,Tan Wei; Zhang Jiansheng,,,Study on the Influence Factors of Regional Differences for Investment Efficiency in China,"ADVANCES IN MANAGEMENT OF TECHNOLOGY, PT 1",,,English,Proceedings Paper,5th International Conference on Management of Technology,"AUG 20-23, 2010","Taiyuan City, PEOPLES R CHINA","Shanxi Assoc Risk Management,N Univ China,Shanxi Univ Finance & Econom",,The Efficiency of Investment; Influencing Factors; Panel Data,,"This paper gives an empirical analysis on the differences and influence factors of the efficiency of investment by the panel data of 31 provinces from 1995 to 2007 in China. The results show that: from 1995 to 2007, the investment efficiency in the nation and the three parts of east, middle and west experienced declining process at first and then rising process, the eastern and middle regions had small differences in investment efficiency, but it had large differences from the western region. The development level of infrastructure, industrial structure, the market level can significantly improve the efficiency of investment, but the influence of government is negative.","[Tan Wei] Chongqing Three Gorges Univ, Dept Ethnol, Chongqing 404000, Peoples R China; [Zhang Jiansheng] Chongqing Three Gorges Univ, Sch Econ & Management, Chongqing, Peoples R China",Chongqing Three Gorges University; Chongqing Three Gorges University,"Tan, W (通讯作者)，Chongqing Three Gorges Univ, Dept Ethnol, Chongqing 404000, Peoples R China.",tanwei0524@126.com; asheng0124@126.com,,,,,,,4,0,0,0,2,AUSSINO ACAD PUBL HOUSE,MARRICKVILLE,"PO BOX 893, MARRICKVILLE, NSW 2204 00000, AUSTRALIA",,,978-1-921712-08-1,,,,2010,,,,,,,122,+,,,,,,2,"Economics; Engineering, Environmental; Engineering, Industrial; Operations Research & Management Science; Regional & Urban Planning; Public Administration",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Business & Economics; Engineering; Operations Research & Management Science; Public Administration,BVE86,,,,,2024-03-09,WOS:000291328400024,0
